format,image,mana_cost,name,percentage_deck,played_number,type
pauper,https://cdn1.mtggoldfish.com/images/gf/Nihil%2BSpellbomb%2B%255BSOM%255D.jpg,0,Nihil Spellbomb,9%,2.0,spells
pauper,https://cdn1.mtggoldfish.com/images/gf/Snuff%2BOut%2B%255BMM%255D.jpg,0,Snuff Out,9%,3.4,spells
pauper,https://cdn1.mtggoldfish.com/images/gf/Lifelink%2B%255BM12%255D.jpg,0,Lifelink,9%,1.5,spells
pauper,https://cdn1.mtggoldfish.com/images/gf/Spirited%2BCompanion%2B%255BNEO%255D.jpg,0,Spirited Companion,5%,3.9,creatures
pauper,https://cdn1.mtggoldfish.com/images/gf/Guardian%2Bof%2Bthe%2BGuildpact%2B%255BDIS%255D.jpg,0,Guardian of the Guildpact,5%,2.0,creatures
pauper,https://cdn1.mtggoldfish.com/images/gf/Firebrand%2BArcher%2B%255BHOU%255D.jpg,0,Firebrand Archer,5%,1.2,creatures
pauper,https://cdn1.mtggoldfish.com/images/gf/River%2BBoa%2B%255BMB1%255D.jpg,0,River Boa,5%,2.3,creatures
pauper,https://cdn1.mtggoldfish.com/images/gf/Palace%2BSentinels%2B%255BCMR%255D.jpg,0,Palace Sentinels,5%,2.1,creatures
pauper,https://cdn1.mtggoldfish.com/images/gf/Nettle%2BSentinel%2B%255BMB1%255D.jpg,0,Nettle Sentinel,5%,3.9,creatures
pauper,https://cdn1.mtggoldfish.com/images/gf/Crypt%2BRats%2B%255BMH1%255D.jpg,0,Crypt Rats,4%,2.0,creatures
pauper,https://cdn1.mtggoldfish.com/images/gf/Myr%2BEnforcer%2B%255BMMA%255D.jpg,0,Myr Enforcer,4%,4.0,creatures
pauper,https://cdn1.mtggoldfish.com/images/gf/Vault%2BSkirge%2B%255BNPH%255D.jpg,0,Vault Skirge,4%,2.2,creatures
pauper,https://cdn1.mtggoldfish.com/images/gf/Skarrgan%2BPit-Skulk%2B%255BGPT%255D.jpg,0,Skarrgan Pit-Skulk,4%,3.1,creatures
standard,https://cdn1.mtggoldfish.com/images/gf/Plains%2B%253C250%253E%2B%255BTHB%255D.jpg,0,Plains,58%,4.9,lands
standard,https://cdn1.mtggoldfish.com/images/gf/Eiganjo%252C%2BSeat%2Bof%2Bthe%2BEmpire%2B%255BNEO%255D.jpg,0,"Eiganjo, Seat of the Empire",48%,1.3,lands
standard,https://cdn1.mtggoldfish.com/images/gf/Island%2B%253C251%253E%2B%255BTHB%255D.jpg,0,Island,33%,2.3,lands
standard,https://cdn1.mtggoldfish.com/images/gf/Hive%2Bof%2Bthe%2BEye%2BTyrant%2B%255BAFR%255D.jpg,0,Hive of the Eye Tyrant,33%,2.6,lands
standard,https://cdn1.mtggoldfish.com/images/gf/Swamp%2B%253C252%253E%2B%255BTHB%255D.jpg,0,Swamp,33%,2.7,lands
standard,https://cdn1.mtggoldfish.com/images/gf/Mountain%2B%253C253%253E%2B%255BTHB%255D.jpg,0,Mountain,32%,3.7,lands
standard,https://cdn1.mtggoldfish.com/images/gf/Needleverge%2BPathway%2B%255BZNR%255D.jpg,0,Needleverge Pathway,31%,3.4,lands
modern,https://cdn1.mtggoldfish.com/images/gf/Scalding%2BTarn%2B%255BMH2%255D.jpg,0,Scalding Tarn,37%,2.6,lands
modern,https://cdn1.mtggoldfish.com/images/gf/Flooded%2BStrand%2B%255BKTK%255D.jpg,0,Flooded Strand,33%,3.2,lands
modern,https://cdn1.mtggoldfish.com/images/gf/Wooded%2BFoothills%2B%255BKTK%255D.jpg,0,Wooded Foothills,33%,2.6,lands
modern,https://cdn1.mtggoldfish.com/images/gf/Breeding%2BPool%2B%255BRNA%255D.jpg,0,Breeding Pool,32%,1.2,lands
modern,https://cdn1.mtggoldfish.com/images/gf/Stomping%2BGround%2B%255BRNA%255D.jpg,0,Stomping Ground,30%,1.4,lands
modern,https://cdn1.mtggoldfish.com/images/gf/Hallowed%2BFountain%2B%255BRNA%255D.jpg,0,Hallowed Fountain,28%,1.6,lands
modern,https://cdn1.mtggoldfish.com/images/gf/Plains%2B%253C250%253E%2B%255BTHB%255D.jpg,0,Plains,25%,1.8,lands
